Video Caption,Comment
轰动！北京冬奥村摇身一变！竟成了各国运动员打卡圣地！2892名外国运动员乐不思蜀！3亿美国人看的眼都红了！怒骂：这为什么和BBC宣传的不一样？,👏👏👏👍👍👍
轰动！北京冬奥村摇身一变！竟成了各国运动员打卡圣地！2892名外国运动员乐不思蜀！3亿美国人看的眼都红了！怒骂：这为什么和BBC宣传的不一样？,怎每天都在炒舊新聞
轰动！北京冬奥村摇身一变！竟成了各国运动员打卡圣地！2892名外国运动员乐不思蜀！3亿美国人看的眼都红了！怒骂：这为什么和BBC宣传的不一样？,儍瓜，先统一台湾再统掉美国后 自然统统才会都一样  .😶
轰动！北京冬奥村摇身一变！竟成了各国运动员打卡圣地！2892名外国运动员乐不思蜀！3亿美国人看的眼都红了！怒骂：这为什么和BBC宣传的不一样？,有什么可吹牛的，日本不是没有电动床，而是不给运动员用而已，在日本二十年前就有电动床，都是老年人病入来用的，现在日本医院，老人院几乎都是电动床，如果家里有瘫痪病人不愿意住院治疗，在家治疗买电动床国家就可以报销百分之七十，一医疗费用报销，请问 中国民众有几个病人能够用得上呐？年轻的运动员当然没有见过嘛，昂贵的很，中国把犯贱当荣耀来宣传够恶心。
轰动！北京冬奥村摇身一变！竟成了各国运动员打卡圣地！2892名外国运动员乐不思蜀！3亿美国人看的眼都红了！怒骂：这为什么和BBC宣传的不一样？,👍
轰动！北京冬奥村摇身一变！竟成了各国运动员打卡圣地！2892名外国运动员乐不思蜀！3亿美国人看的眼都红了！怒骂：这为什么和BBC宣传的不一样？,视频里说得话跟画面全无关系。还有，这些事，七，八天前都让人说过了。现在再来说，迟来了一个多星期。
轰动！北京冬奥村摇身一变！竟成了各国运动员打卡圣地！2892名外国运动员乐不思蜀！3亿美国人看的眼都红了！怒骂：这为什么和BBC宣传的不一样？,"BBC news are fake, lying news"
轰动！北京冬奥村摇身一变！竟成了各国运动员打卡圣地！2892名外国运动员乐不思蜀！3亿美国人看的眼都红了！怒骂：这为什么和BBC宣传的不一样？,再加油 手脚永不停下 像咱親地球那样  爱妳们
轰动！北京冬奥村摇身一变！竟成了各国运动员打卡圣地！2892名外国运动员乐不思蜀！3亿美国人看的眼都红了！怒骂：这为什么和BBC宣传的不一样？,这位女记者好像没吃早餐。
轰动！北京冬奥村摇身一变！竟成了各国运动员打卡圣地！2892名外国运动员乐不思蜀！3亿美国人看的眼都红了！怒骂：这为什么和BBC宣传的不一样？,讚！
轰动！北京冬奥村摇身一变！竟成了各国运动员打卡圣地！2892名外国运动员乐不思蜀！3亿美国人看的眼都红了！怒骂：这为什么和BBC宣传的不一样？,讚！
