Video Caption,Comment
北京冬奧2022：中國如何在疫情中舉辦盛事？－ BBC News 中文,对比度拉高，饱和度拉低，俺也要应聘BBC后期人员
北京冬奧2022：中國如何在疫情中舉辦盛事？－ BBC News 中文,哎呀卧槽，这滤镜能不能再暗点儿
北京冬奧2022：中國如何在疫情中舉辦盛事？－ BBC News 中文,开头几句就不对，多个城市，几个？每个城市多少人？多长时间压住？全加起来，不及你们英国一天的，人口是你们的十倍。怎么能这样说话呢？第二是运动员，努力准备了四年，就这一个机会，保护好这些世界一流的动动员，没有错吧？
北京冬奧2022：中國如何在疫情中舉辦盛事？－ BBC News 中文,bbc也太可爱了吧😂😂😂
北京冬奧2022：中國如何在疫情中舉辦盛事？－ BBC News 中文,来看看有什么象牙么
北京冬奧2022：中國如何在疫情中舉辦盛事？－ BBC News 中文,专业滤镜，专业BBC
北京冬奧2022：中國如何在疫情中舉辦盛事？－ BBC News 中文,阴间滤镜名不虚传
北京冬奧2022：中國如何在疫情中舉辦盛事？－ BBC News 中文,"bbc：“中国每日确诊200 非常严重。”
bbc：“英国每日确诊8万多 非常轻微。”"
北京冬奧2022：中國如何在疫情中舉辦盛事？－ BBC News 中文,中國加油！bbc，😄，管你說什麼，什麼是真相，世界總有一天會看到！
北京冬奧2022：中國如何在疫情中舉辦盛事？－ BBC News 中文,(⊙o⊙)哇，BBC老阴间滤镜了
北京冬奧2022：中國如何在疫情中舉辦盛事？－ BBC News 中文,老阴间镜头了，CNN需要你
北京冬奧2022：中國如何在疫情中舉辦盛事？－ BBC News 中文,视频现在我都不看了，点开就直奔评论区。比视频有意思多了
北京冬奧2022：中國如何在疫情中舉辦盛事？－ BBC News 中文,哈哈，看到大家又来笑话bbc的阴间滤镜就放心了，bbc挺牛逼的，硬是好不容易找到几个下雪的阴天拍出雾霾的样子，我在北京的澳洲朋友都骂bbc无德，天天蓝天白云，真会挑日子
北京冬奧2022：中國如何在疫情中舉辦盛事？－ BBC News 中文,說的是中文，但背後製作的人是盎格魯人的意識型態。小心綿中藏針，總是動不動要暗中黑一下中國。
北京冬奧2022：中國如何在疫情中舉辦盛事？－ BBC News 中文,镜头语言被哔哔西玩明白了🧐
北京冬奧2022：中國如何在疫情中舉辦盛事？－ BBC News 中文,拍照的色彩怎么这么差
北京冬奧2022：中國如何在疫情中舉辦盛事？－ BBC News 中文,滤镜来了哈哈哈
北京冬奧2022：中國如何在疫情中舉辦盛事？－ BBC News 中文,sha x bbc灰片直接传。记者拍摄还不如我
北京冬奧2022：中國如何在疫情中舉辦盛事？－ BBC News 中文,"BBC，你們拍影片能不能從地上爬起來。總是趴著拍。真有你們的。
另外陰間色調真的實在是你們狗眼的顏色嗎？怪不是狗分不清楚顏色。
就像你們一樣。是不是。"
北京冬奧2022：中國如何在疫情中舉辦盛事？－ BBC News 中文,灰镜用得很好吗
